recency,frequency,monetary,r_quartile,f_quartile,m_quartile,RFM_Score,RFM_Score_num,RFM_Level,cluster_labels
325,1,77183,3,4,1,341,8,Middle,0
323,20,1009,3,3,1,331,7,Middle,2
289,723,4748,1,1,1,111,3,Top,0
326,11,170,3,4,4,344,11,Low,1
289,2,535,1,4,2,142,7,Middle,2
316,49,697,2,2,2,222,6,Middle,0
336,11,293,3,4,3,343,10,Low,3
311,39,846,2,2,1,221,5,Top,0
373,59,390,4,1,2,412,7,Middle,3
287,38,756,1,2,2,122,5,Top,0
296,137,1242,1,1,1,111,3,Top,0
308,14,310,2,3,3,233,8,Middle,2
290,21,65,1,3,4,134,8,Middle,2
294,17,311,1,3,3,133,7,Middle,2
315,20,427,2,3,2,232,7,Middle,2
318,34,389,2,2,2,222,6,Middle,2
372,3,38,4,4,4,444,12,Low,1
302,34,801,2,2,1,221,5,Top,0
298,115,786,1,1,1,111,3,Top,0
316,46,673,2,2,2,222,6,Middle,0
326,66,599,3,1,2,312,6,Middle,0
362,1,293,4,4,3,443,11,Low,1
288,18,329,1,3,3,133,7,Middle,2
292,1,42,1,4,4,144,9,Middle,1
301,2,128,2,4,4,244,10,Low,1
312,1,318,2,4,3,243,9,Middle,1
301,11,731,2,4,2,242,8,Middle,2
372,13,199,4,3,4,434,11,Low,3
320,40,847,3,2,1,321,6,Middle,0
301,71,1546,2,1,1,211,4,Top,0
327,2,58,3,4,4,344,11,Low,1
359,17,392,4,3,2,432,9,Middle,3
311,8,117,2,4,4,244,10,Low,1
297,6,1873,1,4,1,141,6,Middle,2
319,27,431,3,2,2,322,7,Middle,2
298,21,5309,1,3,1,131,5,Top,0
365,16,258,4,3,3,433,10,Low,3
354,14,286,3,3,3,333,9,Middle,3
288,23,462,1,3,2,132,6,Middle,2
336,33,605,3,2,2,322,7,Middle,3
319,20,306,3,3,3,333,9,Middle,2
306,19,108,2,3,4,234,9,Middle,2
339,29,413,3,2,2,322,7,Middle,3
365,16,365,4,3,3,433,10,Low,3
358,19,1660,3,3,1,331,7,Middle,3
322,8,23,3,4,4,344,11,Low,1
288,61,1675,1,1,1,111,3,Top,0
289,9,2834,1,4,1,141,6,Middle,2
292,92,535,1,1,2,112,4,Top,0
298,9,1914,1,4,1,141,6,Middle,2
310,3,97,2,4,4,244,10,Low,1
298,8,102,1,4,4,144,9,Middle,2
317,15,305,2,3,3,233,8,Middle,2
364,11,201,4,4,4,444,12,Low,3
296,132,3223,1,1,1,111,3,Top,0
318,7,120,2,4,4,244,10,Low,1
297,91,1290,1,1,1,111,3,Top,0
323,14,229,3,3,3,333,9,Middle,2
372,3,50,4,4,4,444,12,Low,1
294,19,377,1,3,3,133,7,Middle,2
371,67,1528,4,1,1,411,6,Middle,3
288,37,642,1,2,2,122,5,Top,2
358,7,157,3,4,4,344,11,Low,1
354,6,1440,3,4,1,341,8,Middle,3
353,1,382,3,4,2,342,9,Middle,1
368,60,427,4,1,2,412,7,Middle,3
357,11,190,3,4,4,344,11,Low,3
369,11,165,4,4,4,444,12,Low,3
290,15,395,1,3,2,132,6,Middle,2
291,33,560,1,2,2,122,5,Top,2
309,43,825,2,2,1,221,5,Top,0
327,40,477,3,2,2,322,7,Middle,3
318,7,153,2,4,4,244,10,Low,1
304,116,2129,2,1,1,211,4,Top,0
327,9,203,3,4,4,344,11,Low,1
373,14,205,4,3,4,434,11,Low,3
319,1,165,3,4,4,344,11,Low,1
308,138,1240,2,1,1,211,4,Top,0
290,63,577,1,1,2,112,4,Top,0
296,64,1994,1,1,1,111,3,Top,0
288,316,7467,1,1,1,111,3,Top,0
338,7,379,3,4,2,342,9,Middle,3
295,13,278,1,3,3,133,7,Middle,2
289,447,15557,1,1,1,111,3,Top,0
289,17,1796,1,3,1,131,5,Top,0
359,7,185,4,4,4,444,12,Low,1
310,137,7060,2,1,1,211,4,Top,0
301,6,452,2,4,2,242,8,Middle,2
292,103,1665,1,1,1,111,3,Top,0
304,15,893,2,3,1,231,6,Middle,2
308,90,1881,2,1,1,211,4,Top,0
354,1,101,3,4,4,344,11,Low,1
333,21,566,3,3,2,332,8,Middle,3
372,10,350,4,4,3,443,11,Low,3
311,20,271,2,3,3,233,8,Middle,2
290,65,2602,1,1,1,111,3,Top,0
319,34,499,3,2,2,322,7,Middle,2
288,14,190,1,3,4,134,8,Middle,2
359,61,1256,4,1,1,411,6,Middle,3
338,31,547,3,2,2,322,7,Middle,3
304,3,52,2,4,4,244,10,Low,1
308,48,217,2,2,3,223,7,Middle,2
372,14,193,4,3,4,434,11,Low,3
366,16,159,4,3,4,434,11,Low,3
315,31,524,2,2,2,222,6,Middle,2
332,3,110,3,4,4,344,11,Low,1
372,1,295,4,4,3,443,11,Low,1
313,116,1087,2,1,1,211,4,Top,0
289,18,376,1,3,3,133,7,Middle,2
295,74,1257,1,1,1,111,3,Top,0
326,63,569,3,1,2,312,6,Middle,0
298,11,197,1,4,4,144,9,Middle,2
318,19,256,2,3,3,233,8,Middle,2
313,8,112,2,4,4,244,10,Low,1
334,37,753,3,2,2,322,7,Middle,3
351,13,354,3,3,3,333,9,Middle,3
292,101,841,1,1,1,111,3,Top,0
299,23,140,1,3,4,134,8,Middle,2
367,23,165,4,3,4,434,11,Low,3
316,242,2108,2,1,1,211,4,Top,0
295,57,1124,1,1,1,111,3,Top,0
334,20,625,3,3,2,332,8,Middle,3
290,20,212,1,3,3,133,7,Middle,2
337,37,236,3,2,3,323,8,Middle,3
318,76,1184,2,1,1,211,4,Top,0
296,25,1875,1,2,1,121,4,Top,0
309,26,168,2,2,4,224,8,Middle,2
326,19,430,3,3,2,332,8,Middle,3
361,2,110,4,4,4,444,12,Low,1
359,35,498,4,2,2,422,8,Middle,3
338,12,2470,3,3,1,331,7,Middle,3
295,116,530,1,1,2,112,4,Top,0
336,17,304,3,3,3,333,9,Middle,3
360,5,91,4,4,4,444,12,Low,1
365,21,224,4,3,3,433,10,Low,3
292,64,1083,1,1,1,111,3,Top,0
339,16,476,3,3,2,332,8,Middle,3
373,6,225,4,4,3,443,11,Low,1
325,39,141,3,2,4,324,9,Middle,3
331,41,933,3,2,1,321,6,Middle,3
361,28,662,4,2,2,422,8,Middle,3
366,1,590,4,4,2,442,10,Low,1
316,78,699,2,1,2,212,5,Top,0
330,13,201,3,3,4,334,10,Low,1
